Planet_name,Host_name,gaia_id,Number_of_stars,Number_of_planets,Number_of_moons,disc_facility,Planet_controversial_flag,Orbital_period[days],delta_orbpererr1,delta_orbpererr2,pl_orbperlim,Orbit_semimajor_axis,delta_orbsmaxerr1,delta_orbsmaxerr2,pl_orbsmaxlim,angular_separation[mas],delta_angseperr1,delta_angseperr2,pl_angseplim,Planet_radius[Earth],delta_radeerr1,delta_radeerr2,pl_radelim,Planet_radius[Jupiter],delta_radjerr1,delta_radjerr2,pl_radjlim,Planet_mass[Earth],delta_bmasseerr1,delta_bmasseerr2,pl_bmasselim,Planet_mass[Jupiter],delta_bmassjerr1,delta_bmassjerr2,pl_bmassjlim,Planet_density[g/cm^3],delta_denserr1,delta_denserr2,pl_denslim,Orbit_eccentricity,delta_orbeccenerr1,delta_orbeccenerr2,pl_orbeccenlim,Planet_insolation_flux[Earth],delta_insolerr1,delta_insolerr2,pl_insollim,Planet_equilibrium_temperature[K],delta_eqterr1,delta_eqterr2,pl_eqtlim,Orbital_inclinitation[deg],delta_orbinclerr1,delta_orbinclerr2,pl_orbincllim,ttv_flag,Ratio_semimajor_stellarradius,delta_ratdorerr1,delta_ratdorerr2,pl_ratdorlim,Ratio_planetradius/stellar,delta_ratrorerr1,delta_ratrorerr2,pl_ratrorlim,Radial_velocity_amplitude[m/s],delta_rvamperr1,delta_rvamperr2,pl_rvamplim,True_Obliquity,delta_trueobliqerr1,delta_trueobliqerr2,pl_trueobliqlim,Spectral_type,Stellar_effective_temperature,delta_tefferr1,delta_tefferr2,st_tefflim,Stellar_radius,delta_raderr1,delta_raderr2,st_radlim,Stellar_mass,delta_masserr1,delta_masserr2,st_masslim,Stellar_metallicity[dex],delta_meterr1,delta_meterr2,st_metlim,Stellar_metallicity_ratio,Stellar_luminocity[log(sun)],delta_lumerr1,delta_lumerr2,st_lumlim,Stellar_gravity_logg,delta_loggerr1,delta_loggerr2,st_logglim,Stelar_age[Gyr],delta_ageerr1,delta_ageerr2,st_agelim,Stellar_density[g/cm^3],delta_denserr1.1,delta_denserr2.1,st_denslim,Stelar_rotational_velocity[km/s],delta_vsinerr1,delta_vsinerr2,st_vsinlim,Stellar_rotational_period[days],delta_rotperr1,delta_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,RA[sexagesimal],RA[deg],DEC[sexagesimal],DEC,Distance[parsec],delta_disterr1,delta_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,st_nspec
K2-111 b,K2-111,Gaia DR2 53006669599267328,1,2,0,K2,0,5.3518,0.0004,-0.0004,0.0,0.0565,0.00045,-0.00045,0.0,0.282,,,0.0,1.82,0.11,-0.09,0,0.1623698,0.00981356,-0.00802928,0,5.58,0.74,-0.73,0,0.01755664,0.0023283,-0.00229684,0,5.0,1.1,-1.0,0,0.1,,,1.0,490.0,30.0,-30.0,0.0,1309.0,19.0,-19.0,0.0,86.43,0.37,-0.21,0.0,0,9.59,0.98,-0.95,0.0,0.01255,0.0005,-0.00048,0.0,2.3,0.3,-0.3,0.0,,,,,G2,5775.0,70.0,-70.0,0.0,1.25,0.02,-0.02,0.0,0.84,0.02,-0.02,0,-0.46,0.05,-0.05,0.0,[Fe/H],0.27875,0.08297,-0.10266,0.0,4.224,0.078,-0.078,0.0,13.5,0.4,-0.9,0.0,0.6,0.03,-0.03,0.0,1.1,0.5,-0.5,0.0,29.2,0.8,-0.8,0.0,-16.2752,0.0003,-0.0003,0.0,03h59m33.67s,59.8903081,+21d17m54.69s,21.2985263,200.394,2.763,-2.69,11.13,0.034,-0.034,9.377,0.021,-0.021,10.9294,0.000621,-0.000621,0
TOI-1695 b,TOI-1695,Gaia DR2 534988616816537728,1,1,0,Transiting Exoplanet Survey Satellite (TESS),0,3.1342791,7.1e-06,-6.3e-06,0.0,0.033548,0.00026,-0.000268,0.0,0.743,,,0.0,1.9,0.16,-0.14,0,0.16950694,0.01427427,-0.01248998,0,6.36,1.0,-1.0,0,0.0200108,0.00314635,-0.00314635,0,5.0,1.8,-1.3,0,0.097,,,1.0,39.0,3.0,-3.0,0.0,698.0,14.0,-14.0,0.0,87.2,1.3,-0.5,0.0,0,16.3,5.1,-5.1,0.0,0.034,0.002,-0.002,0.0,4.39,0.69,-0.69,0.0,,,,,M1 V,3690.0,50.0,-50.0,0.0,0.515,0.015,-0.015,0.0,0.513,0.012,-0.012,0,0.0,0.5,-0.5,0.0,[Fe/H],-1.3536,0.03484,-0.03574,0.0,4.725,0.027,-0.026,0.0,,,,,5.3,0.5,-0.45,0.0,1.3,,,1.0,47.7,2.2,-2.2,0.0,-59.46196,0.00045,-0.00045,0.0,01h27m41.22s,21.9217346,+72d17m47.81s,72.2966148,45.1309,0.06805,-0.06805,12.989,0.081,-0.081,8.818,0.021,-0.021,12.1364,0.00046,-0.00046,0
K2-170 b,K2-170,Gaia DR2 2599451994385832448,1,2,0,K2,0,7.576544,0.001841,-0.00169,0.0,0.0745,,,,,,,,1.41817537,0.20164964,-0.13107037,0,0.12652113,0.01798998,-0.01169332,0,2.6,,,0,0.00817,,,0,5.01,,,0,0.0,,,,,,,,919.7,,,,87.98893,1.42282,-3.33933,0.0,0,14.299758,2.299522,-5.273392,0.0,0.013245,0.001169,-0.000765,0.0,,,,,,,,,G3,5748.0,50.0,-50.0,0.0,0.981614,0.109454,-0.070829,0.0,0.963657,0.032012,-0.032447,0,-0.11,0.08,-0.08,0.0,[Fe/H],0.0717,0.01017,-0.01042,0.0,4.34,0.1,-0.1,0.0,,,,,1.269956,0.328869,-0.212705,0.0,,,,,,,,,-5.30846,1.53553,-1.53553,0.0,22h21m48.17s,335.4506923,-14d35m36.08s,-14.5933554,392.872,6.502,-6.298,12.668,0.114,-0.114,11.075,0.021,-0.021,12.4959,0.000222,-0.000222,0
Kepler-1038 c,Kepler-1038,Gaia DR2 2079028676836456960,1,2,0,Kepler,0,7.127659798,,,0.0,0.0692,,,0.0,0.118,,,0.0,1.4162338,,,0,0.12634813,,,0,2.59,,,0,0.00816,,,0,5.01,,,0,0.0,,,0.0,89.24,18.97,-13.31,0.0,784.0,,,0.0,89.67,,,0.0,0,22.38,1.9,-1.9,0.0,0.014147,0.000825,-0.000481,0.0,,,,,,,,,G8V,5159.0,82.0,-82.0,0.0,0.821,0.055,-0.039,0.0,0.868,0.035,-0.049,0,0.16,0.15,-0.15,0.0,[Fe/H],-0.362,,,0.0,4.548,0.032,-0.063,0.0,14.0,2.2,-2.2,0.0,3.9606,0.47501,-1.77259,0.0,,,,,,,,,,,,,19h55m53.32s,298.9721472,+44d07m56.46s,44.1323499,584.136,9.939,-9.618,15.03,0.229,-0.229,12.782,0.022,-0.022,14.8561,0.000306,-0.000306,0
Kepler-1398 b,Kepler-1398,Gaia DR2 2128776801985730048,1,2,0,Kepler,0,2.78815679,2.021e-05,-2.021e-05,0.0,0.03909,0.00037,-0.00037,0.0,0.0459,,,0.0,0.9,0.28,-0.12,0,0.08029262,0.02497993,-0.01070568,0,0.666,,,0,0.0021,,,0,5.02,,,0,0.0,,,0.0,1249.488,39.758,-38.613,0.0,1510.0,,,0.0,89.47,,,0.0,0,6.329,0.405,-0.405,0.0,0.007194,0.000119,-0.000462,0.0,,,,,,,,,G0,6126.0,115.41,-125.42,0.0,1.18,0.371,-0.14,0.0,1.13,0.118,-0.081,0,0.01,0.136,-0.172,0.0,[Fe/H],0.31211,,,0.0,4.34,0.091,-0.192,0.0,3.09,1.43,-1.42,0.0,0.5,0.03,-0.03,0.0,,,,,,,,,,,,,19h39m27.87s,294.8661073,+48d38m20.37s,48.6389923,852.204,10.609,-10.609,13.752,0.103,-0.103,12.355,0.021,-0.021,13.6605,0.000228,-0.000228,0
Kepler-1547 b,Kepler-1547,Gaia DR2 2104890633423618048,1,1,0,Kepler,0,0.692979676,1.486e-06,-1.486e-06,0.0,0.01556,0.00015,-0.00015,0.0,0.0231,,,0.0,0.9,0.28,-0.12,0,0.08029262,0.02497993,-0.01070568,0,0.666,,,0,0.0021,,,0,5.02,,,0,0.0,,,0.0,5760.944,149.802,-145.499,0.0,3186.0,,,0.0,61.66,,,0.0,0,4.803,0.78,-0.78,0.0,0.007333,0.000231,-0.000332,0.0,,,,,,,,,G0,6078.0,94.46,-139.23,0.0,1.18,0.36,-0.141,0.0,1.12,0.102,-0.078,0,0.04,0.134,-0.151,0.0,[Fe/H],0.22242,0.01295,-0.01737,0.0,4.34,0.092,-0.192,0.0,3.39,1.39,-1.58,0.0,0.6,0.03,-0.03,0.0,,,,,,,,,,,,,18h55m03.37s,283.7640396,+42d13m19.56s,42.2220992,674.695,6.029,-5.924,13.464,0.114,-0.114,11.996,0.02,-0.02,13.4085,0.000189,-0.000189,0
TOI-4559 b,TOI-4559,Gaia DR2 6173120554255287808,1,1,0,Transiting Exoplanet Survey Satellite (TESS),0,3.965991,0.000314,-0.000332,0.0,0.0359,0.0008,-0.0008,0.0,1.13,,,0.0,1.415,0.126,-0.112,0,0.12623806,0.01124099,-0.00999199,0,2.59,,,0,0.00814,,,0,5.02,,,0,0.0,,,,15.77,1.44,-1.44,0.0,554.16,19.14,-19.14,0.0,88.64,0.96,-1.49,0.0,0,19.71,2.61,-4.82,0.0,0.035,0.003,-0.002,0.0,,,,,,,,,M3,3558.0,73.0,-83.0,0.0,0.374,0.017,-0.015,0.0,0.392,0.027,-0.026,0,-0.09,0.2,-0.22,0.0,[Fe/H],-1.6925,0.02696,-0.03565,0.0,4.884,0.03,-0.03,0.0,7.0,4.7,-4.6,0.0,10.5,1.1,-1.0,0.0,,,,,,,,,,,,,14h04m03.25s,211.0135378,-30d00m50.85s,-30.0141252,31.6354,0.07385,-0.07385,13.115,0.006,-0.006,8.619,0.025,-0.025,12.0797,0.000583,-0.000583,0
TOI-836 b,TOI-836,Gaia DR2 6230733559097425152,1,2,0,Transiting Exoplanet Survey Satellite (TESS),0,3.81673,1e-05,-1e-05,0.0,0.0422,0.00093,-0.00093,0.0,1.53,,,0.0,1.704,0.067,-0.067,0,0.15202096,0.00597735,-0.00597735,0,4.53,0.92,-0.86,0,0.01425297,0.00289464,-0.00270586,0,5.02,0.36,-0.44,0,0.053,0.042,-0.042,0.0,78.838,0.015,-0.015,0.0,871.0,36.0,-36.0,0.0,87.57,0.44,-0.44,0.0,0,,,,,0.0235,0.0013,-0.0013,0.0,2.38,0.35,-0.35,0.0,,,,,K V,4552.0,154.0,-154.0,0.0,0.665,0.01,-0.01,0.0,0.678,0.049,-0.041,0,-0.284,0.067,-0.067,0.0,[Fe/H],-0.85276,0.02725,-0.02818,0.0,4.743,0.105,-0.105,0.0,5.4,6.3,-5.0,0.0,3.294,0.079,-0.092,0.0,1.86,0.5,-0.5,0.0,21.987,0.097,-0.097,0.0,,,,,15h00m19.17s,225.0798831,-24d27m15.13s,-24.4542022,27.5024,0.0294,-0.0293,9.92,0.03,-0.03,6.804,0.018,-0.018,9.40475,0.000443,-0.000443,0
TRAPPIST-1 f,TRAPPIST-1,Gaia DR2 2635476908753563008,1,7,0,Multiple Observatories,0,9.20754,3.2e-05,-3.2e-05,0.0,0.03849,0.00033,-0.00033,0.0,3.1,,,0.0,1.045,0.013,-0.012,0,0.09322882,0.00115978,-0.00107057,0,1.039,0.031,-0.031,0,0.00326906,9.754e-05,-9.754e-05,0,5.022904,0.13784,-0.159895,0,0.01007,0.00068,-0.00068,0.0,0.373,0.015,-0.014,0.0,217.7,2.1,-2.1,0.0,89.74,0.019,-0.019,0.0,1,69.543,0.314,-0.516,0.0,0.0804,0.00047,-0.00047,0.0,,,,,,,,,M8 V,2566.0,26.0,-26.0,0.0,0.1192,0.0013,-0.0013,0.0,0.0898,0.0023,-0.0023,0,0.04,0.08,-0.08,0.0,[Fe/H],-3.25727,0.01467,-0.01518,0.0,5.2396,0.0056,-0.0073,0.0,0.5,,,-1.0,75.05,1.02,-1.66,0.0,2.04,0.18,-0.16,0.0,1.4,0.05,-0.05,0.0,,,,,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,12.42988881,0.01870661,-0.01870661,17.02,0.2,-0.2,10.296,0.023,-0.023,15.6451,0.001448,-0.001448,0
GJ 3473 b,GJ 3473,Gaia DR2 3094290054327367168,2,2,0,Transiting Exoplanet Survey Satellite (TESS),0,1.1980035,1.8e-06,-1.9e-06,0.0,0.01589,0.00062,-0.00062,0.0,0.581,,,0.0,1.264,0.05,-0.049,0,0.11276653,0.0044607,-0.00437149,0,1.86,0.3,-0.3,0,0.00585219,0.0009439,-0.0009439,0,5.03,1.07,-0.93,0,0.0,,,0.0,59.4,5.0,-4.5,0.0,773.0,16.0,-15.0,0.0,87.95,0.47,-0.45,0.0,0,9.39,0.19,-0.21,0.0,0.03184,0.00069,-0.00067,0.0,2.21,0.35,-0.35,0.0,,,,,M4,3347.0,54.0,-54.0,0.0,0.364,0.012,-0.012,0.0,0.36,0.016,-0.016,0,0.11,0.19,-0.19,0.0,[Fe/H],-1.82391,0.00547,-0.00554,0.0,4.81,0.06,-0.06,0.0,,,,,10.93,0.66,-0.69,0.0,2.0,,,1.0,168.3,4.2,-4.2,0.0,-1.101,0.011,-0.011,0.0,08h02m22.47s,120.5936065,+03d20m13.79s,3.3371629,27.3644,0.0376,-0.0376,13.74,0.027,-0.027,8.829001,0.024,-0.024,12.465,0.000343,-0.000343,0
